time,open,high,low,close,spread_price
2025-05-14 06:15:00,2097.92,2099.37,2097.72,2099.12,0.36
2025-05-14 06:30:00,2099.12,2099.37,2097.97,2098.97,0.36
2025-05-14 06:45:00,2098.97,2100.47,2098.02,2099.92,0.36
2025-05-14 07:00:00,2099.97,2101.3,2099.45,2101.0,0.2
2025-05-14 07:15:00,2101.0,2101.55,2096.65,2096.8,0.2
2025-05-14 07:30:00,2096.8,2097.5,2094.95,2095.05,0.2
2025-05-14 07:45:00,2095.05,2097.6,2094.75,2097.5,0.2
2025-05-14 08:00:00,2097.5,2098.25,2094.95,2096.8,0.2
2025-05-14 08:15:00,2096.8,2098.4,2095.7,2098.3,0.2
2025-05-14 08:30:00,2098.3,2098.6,2096.4,2098.1,0.2
2025-05-14 08:45:00,2098.1,2099.3,2095.6,2095.8,0.2
2025-05-14 09:00:00,2095.8,2096.5,2093.8,2096.2,0.2
2025-05-14 09:15:00,2096.2,2098.5,2095.2,2097.8,0.2
2025-05-14 09:30:00,2097.85,2098.2,2096.6,2097.1,0.2
2025-05-14 09:45:00,2097.1,2098.0,2095.9,2096.2,0.2
2025-05-14 10:00:00,2096.2,2096.3,2093.85,2093.9,0.2
2025-05-14 10:15:00,2093.9,2095.5,2093.6,2094.8,0.2
2025-05-14 10:30:00,2094.8,2095.6,2094.6,2095.0,0.2
2025-05-14 10:45:00,2095.0,2096.95,2094.7,2095.7,0.2
2025-05-14 11:00:00,2095.8,2099.55,2095.1,2099.5,0.2
2025-05-14 11:15:00,2099.5,2102.4,2099.05,2102.2,0.2
2025-05-14 11:30:00,2102.15,2103.5,2102.1,2102.2,0.2
2025-05-14 11:45:00,2102.2,2102.2,2099.4,2100.1,0.2
2025-05-14 12:00:00,2100.0,2100.55,2095.8,2096.8,0.2
2025-05-14 12:15:00,2096.75,2102.8,2096.7,2102.0,0.2
2025-05-14 12:30:00,2102.0,2103.6,2098.95,2100.0,0.2
2025-05-14 12:45:00,2100.0,2101.0,2098.65,2100.6,0.2
2025-05-14 13:00:00,2100.6,2100.6,2096.45,2099.2,0.2
2025-05-14 13:15:00,2099.1,2099.4,2095.85,2095.9,0.2
2025-05-14 13:30:00,2095.85,2100.75,2094.3,2095.15,0.2
2025-05-14 13:45:00,2095.3,2096.4,2086.8,2089.65,0.2
2025-05-14 14:00:00,2089.7,2092.75,2086.65,2090.25,0.2
2025-05-14 14:15:00,2090.35,2092.75,2086.95,2090.95,0.2
2025-05-14 14:30:00,2090.9,2092.95,2088.05,2089.8,0.2
2025-05-14 14:45:00,2089.75,2091.5,2087.8,2088.3,0.2
2025-05-14 15:00:00,2088.3,2088.7,2080.2,2084.65,0.2
2025-05-14 15:15:00,2084.65,2089.95,2083.37,2089.65,0.2
2025-05-14 15:30:00,2089.57,2090.65,2086.65,2087.35,0.2
2025-05-14 15:45:00,2087.35,2089.87,2086.17,2089.47,0.2
2025-05-14 16:00:00,2089.45,2092.65,2088.15,2091.35,0.2
2025-05-14 16:15:00,2091.35,2092.37,2088.35,2088.55,0.2
2025-05-14 16:30:00,2088.47,2092.97,2085.55,2086.05,0.2
2025-05-14 16:45:00,2086.05,2088.75,2085.35,2088.35,0.2
2025-05-14 17:00:00,2088.35,2089.85,2087.25,2088.35,0.2
2025-05-14 17:15:00,2088.37,2089.65,2081.87,2084.65,0.2
2025-05-14 17:30:00,2084.65,2088.55,2084.15,2087.25,0.2
2025-05-14 17:45:00,2087.25,2089.47,2086.67,2087.65,0.2
2025-05-14 18:00:00,2087.67,2089.25,2085.15,2085.75,0.2
2025-05-14 18:15:00,2085.57,2088.05,2083.05,2083.95,0.2
2025-05-14 18:30:00,2083.87,2089.67,2083.87,2087.87,0.2
2025-05-14 18:45:00,2087.95,2088.17,2085.25,2086.05,0.2
2025-05-14 19:00:00,2086.07,2088.77,2085.35,2088.37,0.2
2025-05-14 19:15:00,2088.35,2089.15,2084.87,2088.35,0.2
2025-05-14 19:30:00,2088.35,2089.05,2084.15,2084.85,0.2
2025-05-14 19:45:00,2084.85,2088.55,2082.55,2082.95,0.2
2025-05-14 20:00:00,2082.85,2085.07,2081.65,2085.07,0.2
2025-05-14 20:15:00,2085.05,2085.15,2083.57,2083.65,0.2
2025-05-14 20:30:00,2083.65,2084.57,2083.25,2084.37,0.2
2025-05-14 20:45:00,2084.45,2084.47,2081.65,2081.87,0.2
2025-05-14 22:00:00,2082.47,2082.52,2079.52,2079.92,0.36
2025-05-14 22:15:00,2079.92,2080.27,2078.92,2079.72,0.36
2025-05-14 22:30:00,2079.72,2080.02,2078.27,2079.22,0.36
2025-05-14 22:45:00,2079.22,2079.87,2078.62,2079.42,0.36
2025-05-14 23:00:00,2079.42,2079.52,2076.82,2077.12,0.36
2025-05-14 23:15:00,2077.12,2077.87,2076.32,2076.82,0.36
2025-05-14 23:30:00,2076.92,2077.32,2075.87,2077.02,0.36
2025-05-14 23:45:00,2077.02,2078.62,2076.92,2078.22,0.36
2025-05-15 00:00:00,2078.22,2080.22,2078.07,2079.82,0.36
2025-05-15 00:15:00,2079.82,2080.92,2079.72,2080.52,0.36
2025-05-15 00:30:00,2080.52,2082.62,2080.42,2082.52,0.36
2025-05-15 00:45:00,2082.42,2082.52,2081.42,2082.12,0.36
2025-05-15 01:00:00,2082.02,2083.07,2081.92,2082.42,0.36
2025-05-15 01:15:00,2082.42,2082.62,2081.37,2081.47,0.36
2025-05-15 01:30:00,2081.52,2082.17,2081.22,2082.02,0.36
2025-05-15 01:45:00,2081.97,2082.52,2081.22,2081.62,0.36
2025-05-15 02:00:00,2081.62,2081.77,2080.72,2080.92,0.36
2025-05-15 02:15:00,2080.87,2080.87,2079.82,2080.12,0.36
2025-05-15 02:30:00,2080.12,2083.02,2080.12,2082.82,0.36
2025-05-15 02:45:00,2082.82,2083.12,2082.02,2082.52,0.36
2025-05-15 03:00:00,2082.42,2082.62,2081.62,2082.22,0.36
2025-05-15 03:15:00,2082.12,2083.27,2082.12,2082.32,0.36
2025-05-15 03:30:00,2082.27,2082.72,2081.67,2082.62,0.36
2025-05-15 03:45:00,2082.62,2083.37,2082.57,2082.82,0.36
2025-05-15 04:00:00,2082.82,2083.17,2082.62,2082.62,0.36
2025-05-15 04:15:00,2082.62,2083.12,2082.62,2083.12,0.36
